first_name,last_name,amount,payment_date
Jon,Stephens,4.99,"2005-08-01 08:51:04"
Jon,Stephens,3.99,"2005-08-02 15:36:52"
Mike,Hillyer,0.99,"2005-08-02 18:01:38"
Jon,Stephens,4.99,"2005-08-17 12:37:54"
Mike,Hillyer,0.99,"2005-08-18 03:57:29"
Jon,Stephens,0.99,"2005-08-19 09:55:16"
Jon,Stephens,2.99,"2005-08-19 13:56:54"
Mike,Hillyer,0.99,"2005-08-21 23:33:57"
Mike,Hillyer,1.99,"2005-08-22 01:27:57"
Jon,Stephens,2.99,"2005-08-22 19:41:37"
Mike,Hillyer,5.99,"2005-08-22 20:03:46"
Mike,Hillyer,0.99,"2005-08-01 09:45:26"
Mike,Hillyer,0.99,"2005-08-02 02:10:56"
Mike,Hillyer,5.99,"2005-08-02 07:41:41"
Mike,Hillyer,6.99,"2005-08-02 10:43:48"
Jon,Stephens,2.99,"2005-08-02 13:44:53"
Mike,Hillyer,2.99,"2005-08-17 03:52:18"
Mike,Hillyer,2.99,"2005-08-19 06:26:04"
Mike,Hillyer,4.99,"2005-08-21 13:24:32"
Jon,Stephens,5.99,"2005-08-21 22:41:56"
Jon,Stephens,4.99,"2005-08-22 13:53:04"
Jon,Stephens,4.99,"2005-08-23 17:39:35"
Jon,Stephens,5.99,"2005-08-01 14:19:48"
Jon,Stephens,4.99,"2005-08-18 14:49:55"
Mike,Hillyer,8.99,"2005-08-19 22:18:07"
Jon,Stephens,2.99,"2005-08-20 06:14:12"
Jon,Stephens,8.99,"2005-08-21 20:50:48"
Jon,Stephens,0.99,"2005-08-22 09:37:27"
Mike,Hillyer,2.99,"2005-08-23 07:10:14"
Jon,Stephens,0.99,"2005-08-02 07:09:34"
Mike,Hillyer,2.99,"2005-08-02 08:20:31"
Jon,Stephens,4.99,"2005-08-17 00:28:01"
Mike,Hillyer,2.99,"2005-08-18 00:14:03"
Jon,Stephens,8.99,"2005-08-18 05:14:44"
Jon,Stephens,1.99,"2005-08-19 02:19:13"
Mike,Hillyer,2.99,"2005-08-20 09:32:04"
Mike,Hillyer,6.99,"2005-08-20 12:55:40"
Jon,Stephens,4.99,"2005-08-21 04:53:37"
Mike,Hillyer,2.99,"2005-08-22 13:58:23"
Jon,Stephens,1.99,"2005-08-23 07:43:00"
Jon,Stephens,4.99,"2005-08-01 14:48:45"
Mike,Hillyer,0.99,"2005-08-01 15:27:10"
Jon,Stephens,4.99,"2005-08-02 04:56:45"
Mike,Hillyer,4.99,"2005-08-02 10:50:06"
Jon,Stephens,3.99,"2005-08-17 16:28:53"
Mike,Hillyer,9.99,"2005-08-18 00:10:04"
Mike,Hillyer,2.99,"2005-08-19 00:24:08"
Mike,Hillyer,1.99,"2005-08-19 09:45:41"
Jon,Stephens,0.99,"2005-08-20 15:16:18"
Jon,Stephens,6.99,"2005-08-20 22:13:59"
Mike,Hillyer,6.99,"2005-08-21 11:31:11"
Jon,Stephens,2.99,"2005-08-21 14:02:50"
Jon,Stephens,0.99,"2005-08-22 17:37:02"
Mike,Hillyer,2.99,"2005-08-01 03:13:39"
Mike,Hillyer,2.99,"2005-08-02 05:36:38"
Mike,Hillyer,3.99,"2005-08-02 18:55:15"
Mike,Hillyer,6.99,"2005-08-17 02:29:41"
Mike,Hillyer,0.99,"2005-08-17 08:12:20"
Mike,Hillyer,0.99,"2005-08-17 13:39:32"
Jon,Stephens,2.99,"2005-08-18 04:05:29"
Jon,Stephens,6.99,"2005-08-20 00:18:25"
Mike,Hillyer,7.99,"2005-08-21 08:22:56"
Mike,Hillyer,4.99,"2005-08-21 09:49:28"
Mike,Hillyer,5.99,"2005-08-23 02:51:24"
Jon,Stephens,0.99,"2005-08-23 06:41:32"
Jon,Stephens,6.99,"2005-08-01 04:57:04"
Mike,Hillyer,5.99,"2005-08-01 08:19:53"
Mike,Hillyer,4.99,"2005-08-01 11:39:26"
Jon,Stephens,4.99,"2005-08-01 15:52:00"
Jon,Stephens,3.99,"2005-08-02 04:40:54"
Jon,Stephens,7.99,"2005-08-17 00:51:32"
Mike,Hillyer,8.99,"2005-08-18 07:57:14"
Mike,Hillyer,2.99,"2005-08-18 21:55:01"
Jon,Stephens,2.99,"2005-08-19 21:23:31"
Mike,Hillyer,2.99,"2005-08-20 01:06:04"
Mike,Hillyer,0.99,"2005-08-20 05:53:31"
Mike,Hillyer,5.99,"2005-08-21 04:49:48"
Jon,Stephens,2.99,"2005-08-01 13:05:35"
Mike,Hillyer,9.99,"2005-08-02 13:04:12"
Jon,Stephens,2.99,"2005-08-02 14:42:45"
Mike,Hillyer,2.99,"2005-08-18 17:16:01"
Mike,Hillyer,0.99,"2005-08-21 01:07:11"
Mike,Hillyer,7.99,"2005-08-22 22:09:09"
Mike,Hillyer,2.99,"2005-08-23 13:05:10"
Mike,Hillyer,4.99,"2005-08-23 14:31:19"
Mike,Hillyer,0.99,"2005-08-01 09:11:25"
Mike,Hillyer,4.99,"2005-08-01 09:14:00"
Jon,Stephens,5.99,"2005-08-02 19:00:52"
Mike,Hillyer,0.99,"2005-08-17 01:11:53"
Mike,Hillyer,2.99,"2005-08-18 03:08:10"
Mike,Hillyer,2.99,"2005-08-18 05:58:40"
Jon,Stephens,4.99,"2005-08-18 18:48:58"
Jon,Stephens,7.99,"2005-08-21 13:53:59"
Jon,Stephens,8.99,"2005-08-01 17:09:59"
Jon,Stephens,2.99,"2005-08-02 14:55:00"
Mike,Hillyer,0.99,"2005-08-02 19:13:39"
Jon,Stephens,2.99,"2005-08-17 20:11:35"
Jon,Stephens,2.99,"2005-08-18 09:19:12"
Jon,Stephens,4.99,"2005-08-19 19:23:30"
Jon,Stephens,2.99,"2005-08-20 16:43:28"
Mike,Hillyer,5.99,"2005-08-22 21:59:29"
Mike,Hillyer,4.99,"2005-08-01 22:41:16"
Jon,Stephens,6.99,"2005-08-02 10:14:58"
Jon,Stephens,0.99,"2005-08-16 23:06:30"
Jon,Stephens,5.99,"2005-08-17 19:32:44"
Jon,Stephens,0.99,"2005-08-20 05:07:27"
Mike,Hillyer,4.99,"2005-08-20 12:17:27"
Mike,Hillyer,0.99,"2005-08-22 12:42:47"
Jon,Stephens,2.99,"2005-08-22 17:46:41"
Jon,Stephens,10.99,"2005-08-01 06:50:26"
Jon,Stephens,0.99,"2005-08-16 22:52:30"
Mike,Hillyer,4.99,"2005-08-18 16:58:48"
Jon,Stephens,0.99,"2005-08-20 02:37:07"
Jon,Stephens,2.99,"2005-08-20 15:58:28"
Jon,Stephens,4.99,"2005-08-21 05:19:39"
Mike,Hillyer,0.99,"2005-08-23 20:28:44"
Mike,Hillyer,4.99,"2005-08-02 14:58:41"
Jon,Stephens,0.99,"2005-08-02 16:05:17"
Jon,Stephens,5.99,"2005-08-17 09:44:59"
Jon,Stephens,7.99,"2005-08-19 04:31:36"
Jon,Stephens,4.99,"2005-08-19 10:49:03"
Jon,Stephens,0.99,"2005-08-19 15:25:48"
Mike,Hillyer,0.99,"2005-08-20 00:33:19"
Mike,Hillyer,9.99,"2005-08-21 05:44:07"
Jon,Stephens,7.99,"2005-08-21 15:44:23"
Mike,Hillyer,4.99,"2005-08-22 20:51:24"
Mike,Hillyer,2.99,"2005-08-01 05:23:00"
Jon,Stephens,6.99,"2005-08-01 11:55:33"
Mike,Hillyer,4.99,"2005-08-02 22:18:24"
Jon,Stephens,3.99,"2005-08-17 00:27:23"
Mike,Hillyer,2.99,"2005-08-18 19:16:47"
Mike,Hillyer,4.99,"2005-08-20 11:20:12"
Jon,Stephens,6.99,"2005-08-22 08:43:50"
Mike,Hillyer,0.99,"2005-08-22 22:08:11"
Mike,Hillyer,0.99,"2005-08-23 22:25:26"
Mike,Hillyer,2.99,"2005-08-02 08:44:18"
Mike,Hillyer,2.99,"2005-08-02 09:29:11"
Jon,Stephens,2.99,"2005-08-02 15:48:08"
Jon,Stephens,2.99,"2005-08-02 17:09:24"
Mike,Hillyer,7.99,"2005-08-17 16:20:37"
Jon,Stephens,2.99,"2005-08-18 04:39:10"
Jon,Stephens,2.99,"2005-08-18 14:46:26"
Mike,Hillyer,2.99,"2005-08-18 18:00:23"
Jon,Stephens,8.99,"2005-08-19 20:18:36"
Mike,Hillyer,5.99,"2005-08-19 22:03:46"
Jon,Stephens,5.99,"2005-08-20 02:00:33"
Mike,Hillyer,4.99,"2005-08-20 03:41:41"
Jon,Stephens,3.99,"2005-08-20 08:34:41"
